AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.033,-0.205,0.975,,,,,
0.031,-0.195,0.965,,,,,
0.02,-0.193,0.951,,,,,
0.012,-0.199,0.973,,,,,
0.027,-0.203,0.98,,,,,
0.035,-0.191,0.959,,,,,
0.027,-0.189,0.965,,,,,
0.01,-0.199,0.959,,,,,
0.02,-0.201,0.984,,,,,
0.029,-0.209,0.971,,,,,
0.039,-0.186,0.963,,,,,
0.02,-0.193,0.951,,,,,
0.018,-0.188,0.975,,,,,
0.021,-0.213,0.969,,,,,
0.031,-0.197,0.971,,,,,
0.035,-0.193,0.955,,,,,
0.004,-0.189,0.955,,,,,
0.023,-0.197,0.982,398,30.9,38.5,2814,2
0.031,-0.203,0.973,,,,,
0.033,-0.189,0.971,,,,,
0.016,-0.197,0.943,,,,,
0.014,-0.197,0.975,,,,,
0.027,-0.207,0.98,,,,,
0.035,-0.195,0.969,,,,,
0.031,-0.182,0.953,,,,,
0.01,-0.189,0.957,,,,,
0.023,-0.199,0.982,,,,,
0.031,-0.209,0.979,,,,,
0.035,-0.189,0.959,,,,,
0.012,-0.195,0.943,,,,,
0.014,-0.195,0.98,,,,,
0.021,-0.215,0.98,,,,,
0.033,-0.186,0.965,,,,,
0.031,-0.188,0.951,,,,,
0.014,-0.193,0.967,,,,,
0.02,-0.211,0.982,398,30.9,38.5,2990,2
0.029,-0.207,0.965,,,,,
0.035,-0.186,0.967,,,,,
0.021,-0.191,0.949,,,,,
0.016,-0.193,0.98,,,,,
0.027,-0.207,0.975,,,,,
0.035,-0.191,0.963,,,,,
0.025,-0.195,0.957,,,,,
0.008,-0.201,0.953,,,,,
0.021,-0.207,0.988,,,,,
0.027,-0.199,0.959,,,,,
0.039,-0.188,0.969,,,,,
0.012,-0.197,0.957,,,,,
0.014,-0.195,0.979,,,,,
0.025,-0.211,0.971,,,,,
0.037,-0.191,0.975,,,,,
0.029,-0.193,0.957,,,,,
0.006,-0.189,0.959,,,,,
0.021,-0.201,0.986,398,30.9,38.5,3166,2
0.035,-0.197,0.969,,,,,
0.031,-0.193,0.965,,,,,
0.016,-0.193,0.945,,,,,
0.016,-0.197,0.975,,,,,
0.025,-0.209,0.979,,,,,
0.035,-0.189,0.975,,,,,
0.031,-0.188,0.955,,,,,
0.01,-0.191,0.957,,,,,
0.018,-0.211,0.982,,,,,
0.031,-0.205,0.975,,,,,
0.035,-0.186,0.965,,,,,
0.012,-0.191,0.947,,,,,
0.014,-0.191,0.982,,,,,
0.025,-0.209,0.986,,,,,
0.035,-0.193,0.975,,,,,
0.029,-0.191,0.947,,,,,
0.01,-0.189,0.969,,,,,
0.027,-0.211,0.986,398,30.9,38.5,3341,2
0.029,-0.197,0.963,,,,,
0.031,-0.188,0.959,,,,,
0.014,-0.193,0.945,,,,,
0.016,-0.201,0.98,,,,,
0.029,-0.209,0.973,,,,,
0.035,-0.189,0.967,,,,,
0.027,-0.195,0.957,,,,,
0.012,-0.193,0.963,,,,,
0.021,-0.209,0.986,,,,,
0.033,-0.195,0.965,,,,,
0.035,-0.191,0.963,,,,,
0.014,-0.195,0.957,,,,,
0.016,-0.195,0.98,,,,,
0.025,-0.211,0.977,,,,,
0.035,-0.193,0.975,,,,,
0.031,-0.193,0.955,,,,,
0.01,-0.195,0.967,,,,,
0.021,-0.209,0.977,398,30.9,38.5,3517,2
0.029,-0.201,0.965,,,,,
0.031,-0.191,0.969,,,,,
0.014,-0.191,0.945,,,,,
0.018,-0.197,0.977,,,,,
0.027,-0.211,0.975,,,,,
0.035,-0.191,0.977,,,,,
0.025,-0.191,0.951,,,,,
0.014,-0.195,0.963,,,,,
0.023,-0.211,0.982,,,,,
0.033,-0.195,0.969,,,,,
0.035,-0.186,0.967,,,,,
0.01,-0.195,0.947,,,,,
0.016,-0.199,0.98,,,,,
0.025,-0.215,0.979,,,,,
0.031,-0.189,0.971,,,,,
0.025,-0.191,0.945,,,,,
0.01,-0.191,0.969,,,,,
0.025,-0.209,0.982,398,30.9,38.5,3693,2
0.031,-0.197,0.971,,,,,
0.033,-0.188,0.963,,,,,
0.014,-0.195,0.955,,,,,
0.018,-0.199,0.986,,,,,
0.031,-0.209,0.973,,,,,
